RUN	performanceRunners.CDArticleSimulation	cdarticlesimulation	1683425312716	 	3.7.4
USER	Create An Article	START	1683425312904
USER	Create An Article	START	1683425313895
USER	Create An Article	START	1683425314901
USER	Create An Article	START	1683425315872
USER	Create An Article	START	1683425316873
REQUEST		POST /api/users/login	1683425317002	1683425317513	OK	 
REQUEST		POST /api/articles	1683425318062	1683425318243	OK	 
REQUEST		DELETE /api/articles/Future-Web-AssistantSat-May-06-22:08:38-EDT-2023-154997	1683425318259	1683425318409	OK	 
USER	Create An Article	END	1683425318412
REQUEST		POST /api/articles	1683425318062	1683425318304	OK	 
REQUEST		DELETE /api/articles/Direct-Factors-ConsultantSat-May-06-22:08:38-EDT-2023-154997	1683425318306	1683425318479	OK	 
USER	Create An Article	END	1683425318478
REQUEST		POST /api/articles	1683425318062	1683425318331	OK	 
REQUEST		DELETE /api/articles/Chief-Research-ConsultantSat-May-06-22:08:38-EDT-2023-154997	1683425318338	1683425318494	OK	 
USER	Create An Article	END	1683425318494
REQUEST		POST /api/articles	1683425318062	1683425318318	OK	 
REQUEST		DELETE /api/articles/Regional-Solutions-ExecutiveSat-May-06-22:08:38-EDT-2023-154997	1683425318323	1683425318498	OK	 
USER	Create An Article	END	1683425318496
REQUEST		POST /api/articles	1683425318062	1683425318323	OK	 
REQUEST		DELETE /api/articles/District-Research-TechnicianSat-May-06-22:08:38-EDT-2023-154997	1683425318331	1683425318499	OK	 
USER	Create An Article	END	1683425318498
